timestamp,open,high,low,close
1762072800000,4001.505,4001.505,4001.505,4001.505
1762073100000,4001.505,4001.505,4001.505,4001.505
1762073400000,4001.505,4001.505,4001.505,4001.505
1762073700000,4001.505,4001.505,4001.505,4001.505
1762074000000,4001.505,4001.505,4001.505,4001.505
1762074300000,4001.505,4001.505,4001.505,4001.505
1762074600000,4001.505,4001.505,4001.505,4001.505
1762074900000,4001.505,4001.505,4001.505,4001.505
1762075200000,4001.505,4001.505,4001.505,4001.505
1762075500000,4001.505,4001.505,4001.505,4001.505
1762075800000,4001.505,4001.505,4001.505,4001.505
1762076100000,4001.505,4001.505,4001.505,4001.505
1762076400000,4001.505,4001.505,4001.505,4001.505
1762076700000,4001.505,4001.505,4001.505,4001.505
1762077000000,4001.505,4001.505,4001.505,4001.505
1762077300000,4001.505,4001.505,4001.505,4001.505
1762077600000,4001.505,4001.505,4001.505,4001.505
1762077900000,4001.505,4001.505,4001.505,4001.505
1762078200000,4001.505,4001.505,4001.505,4001.505
1762078500000,4001.505,4001.505,4001.505,4001.505
1762078800000,4001.505,4001.505,4001.505,4001.505
1762079100000,4001.505,4001.505,4001.505,4001.505
1762079400000,4001.505,4001.505,4001.505,4001.505
1762079700000,4001.505,4001.505,4001.505,4001.505
1762080000000,4001.505,4001.505,4001.505,4001.505
1762080300000,4001.505,4001.505,4001.505,4001.505
1762080600000,4001.505,4001.505,4001.505,4001.505
1762080900000,4001.505,4001.505,4001.505,4001.505
1762081200000,4001.505,4001.505,4001.505,4001.505
1762081500000,4001.505,4001.505,4001.505,4001.505
1762081800000,4001.505,4001.505,4001.505,4001.505
1762082100000,4001.505,4001.505,4001.505,4001.505
1762082400000,4001.505,4001.505,4001.505,4001.505
1762082700000,4001.505,4001.505,4001.505,4001.505
1762083000000,4001.505,4001.505,4001.505,4001.505
1762083300000,4001.505,4001.505,4001.505,4001.505
1762083600000,4001.505,4001.505,4001.505,4001.505
1762083900000,4001.505,4001.505,4001.505,4001.505
1762084200000,4001.505,4001.505,4001.505,4001.505
